MA, FL,NFL,Hue,OD,Result
14.23,2.8,3.06,5.64,1.04,0
13.2,2.65,2.76,4.38,1.05,0
13.16,2.8,3.24,5.68,1.03,0
14.37,3.85,3.49,7.8,0.86,0
13.24,2.8,2.69,4.32,1.04,0
14.2,3.27,3.39,6.75,1.05,0
14.39,2.5,2.52,5.25,1.02,0
14.06,2.6,2.51,5.05,1.06,0
14.83,2.8,2.98,5.2,1.08,0
13.86,2.98,3.15,7.22,1.01,0
14.1,2.95,3.32,5.75,1.25,0
14.12,2.2,2.43,5,1.17,0
13.75,2.6,2.76,5.6,1.15,0
14.75,3.1,3.69,5.4,1.25,0
14.38,3.3,3.64,7.5,1.2,0
13.63,2.85,2.91,7.3,1.28,0
14.3,2.8,3.14,6.2,1.07,0
13.83,2.95,3.4,6.6,1.13,0
14.19,3.3,3.93,8.7,1.23,0
13.64,2.7,3.03,5.1,0.96,0
14.06,3,3.17,5.65,1.09,0
12.93,2.41,2.41,4.5,1.03,0
13.71,2.61,2.88,3.8,1.11,0
12.85,2.48,2.37,3.93,1.09,0
13.5,2.53,2.61,3.52,1.12,0
13.05,2.63,2.68,3.58,1.13,0
13.39,2.85,2.94,4.8,0.92,0
13.3,2.4,2.19,3.95,1.02,0
13.87,2.95,2.97,4.5,1.25,0
13.87,2.95,2.97,4.5,1.25,0
13.87,2.95,2.97,4.5,1.25,0
13.87,2.95,2.97,4.5,1.25,0
13.87,2.95,2.97,4.5,1.25,0
14.02,2.65,2.33,4.7,1.04,0
12.37,1.98,0.57,1.95,1.05,1
12.33,2.05,1.09,3.27,1.25,1
12.64,2.02,1.41,5.75,0.98,1
13.67,2.1,1.79,3.8,1.23,1
12.37,3.5,3.1,4.45,1.22,1
12.17,1.89,1.75,2.95,1.45,1
12.37,2.42,2.65,4.6,1.19,1
13.11,2.98,3.18,5.3,1.12,1
12.37,2.11,2,4.68,1.12,1
13.34,2.53,1.3,3.17,1.02,1
12.21,1.85,1.28,2.85,1.28,1
12.29,1.1,1.02,3.05,0.906,1
13.86,2.95,2.86,3.38,1.36,1
13.49,1.88,1.84,3.74,0.98,1
12.99,3.3,2.89,3.35,1.31,1
11.96,3.38,2.14,3.21,0.99,1
11.66,1.61,1.57,3.8,1.23,1
13.03,1.95,2.03,4.6,1.19,1
11.84,1.72,1.32,2.65,0.96,1
12.33,1.9,1.85,3.4,1.06,1
12.7,2.83,2.55,2.57,1.19,1
12,2.42,2.26,2.5,1.38,1
12.72,2.2,2.53,3.9,1.16,1
12.08,2,1.58,2.2,1.31,1
13.05,1.65,1.59,4.8,0.84,1
11.84,2.2,2.21,3.05,0.79,1
12.67,2.2,1.94,2.62,1.23,1
12.16,1.78,1.69,2.45,1.33,1
11.65,1.92,1.61,2.6,1.36,1
11.64,1.95,1.69,2.8,1,1
